"Site ID","Post ID",Title,Location,Type,"Post Name","Post Status"
1,43560,"Regular Girls",https://shipstation.com/promos/regular-girls/,promos,regular-girls,publish
1,43561,"For Crying Out Loud",https://shipstation.com/promos/for-crying-out-loud/,promos,for-crying-out-loud,publish
1,43562,"Crime Writers On",https://shipstation.com/promos/crime-writers-on/,promos,crime-writers-on,publish
1,43563,"Dear Prudence",https://shipstation.com/promos/dear-prudence/,promos,dear-prudence,publish
1,43564,"This Might Get Weird",https://shipstation.com/promos/this-might-get-weird/,promos,this-might-get-weird,publish
1,43565,"An Acquired Taste",https://shipstation.com/promos/an-acquired-taste/,promos,an-acquired-taste,publish
1,43566,"I Don't Get It",https://shipstation.com/promos/i-dont-get-it/,promos,i-dont-get-it,publish
1,43567,"Endless Honeymoon",https://shipstation.com/promos/endless-honeymoon/,promos,endless-honeymoon,publish
1,43568,"Small Town Murder",https://shipstation.com/promos/small-town-murder/,promos,small-town-murder,publish
1,43569,"You Can Sip With Us",https://shipstation.com/promos/you-can-sip-with-us/,promos,you-can-sip-with-us,publish
1,43570,"Wine and Crime",https://shipstation.com/promos/wine-and-crime/,promos,wine-and-crime,publish
1,43571,"Jtrain Podcast",https://shipstation.com/promos/jtrain-podcast/,promos,jtrain-podcast,publish
1,43572,"Andrew Schulz's Flagrant 2 Podcast",https://shipstation.com/promos/andrew-schulzs-flagrant-2-podcast/,promos,andrew-schulzs-flagrant-2-podcast,publish
1,43573,"Do the Thing Podcast",https://shipstation.com/promos/do-the-thing-podcast/,promos,do-the-thing-podcast,publish
1,43574,"Your Favorite Thing Podcast",https://shipstation.com/promos/your-favorite-thing-podcast/,promos,your-favorite-thing-podcast,publish
1,43575,"Why Won't You Date Me? Podcast",https://shipstation.com/promos/why-wont-you-date-me-podcast/,promos,why-wont-you-date-me-podcast,publish
1,43576,"That's Awesome",https://shipstation.com/promos/thats-awesome/,promos,thats-awesome,publish
1,43577,"Off the Vine",https://shipstation.com/promos/off-the-vine/,promos,off-the-vine,publish
1,43578,"Andrea Savage",https://shipstation.com/promos/andrea-savage/,promos,andrea-savage,publish
1,43579,"The History Chicks",https://shipstation.com/promos/the-history-chicks/,promos,the-history-chicks,publish
1,43580,"Oh No",https://shipstation.com/promos/oh-no/,promos,oh-no,publish
1,43581,"Southern Fried",https://shipstation.com/promos/southern-fried/,promos,southern-fried,publish
1,43582,#MOMTRUTHS,https://shipstation.com/promos/momtruths/,promos,momtruths,publish
1,43583,"Woman Evolve",https://shipstation.com/promos/woman-evolve/,promos,woman-evolve,publish
1,43584,"Self Helpless",https://shipstation.com/promos/self-helpless/,promos,self-helpless,publish
1,43585,"Punch Up The Jam",https://shipstation.com/promos/punch-up-the-jam/,promos,punch-up-the-jam,publish
1,43586,"The Daily Beans",https://shipstation.com/promos/the-daily-beans/,promos,the-daily-beans,publish
1,43587,"Bad Friends",https://shipstation.com/promos/bad-friends/,promos,bad-friends,publish
1,43588,"The Goal Digger",https://shipstation.com/promos/the-goal-digger/,promos,the-goal-digger,publish
1,43589,"Berning In Hell",https://shipstation.com/promos/berning-in-hell/,promos,berning-in-hell,publish
1,43590,"Couple Things with Shawn and Andrew",https://shipstation.com/promos/couple-things-with-shawn-and-andrew/,promos,couple-things-with-shawn-and-andrew,publish
1,43591,"Million Dollaz Worth Of Game",https://shipstation.com/promos/million-dollaz-worth-of-game/,promos,million-dollaz-worth-of-game,publish
1,43592,"Everybody Is Awful (Except You) with Jim Florentine",https://shipstation.com/promos/everybody-is-awful-except-you-with-jim-florentine/,promos,everybody-is-awful-except-you-with-jim-florentine,publish
1,43593,"Ask Iliza Anything",https://shipstation.com/promos/ask-iliza-anything/,promos,ask-iliza-anything,publish
1,43594,"Byers Market",https://shipstation.com/promos/byers-market/,promos,byers-market,publish
1,43595,"TJ Hunt",https://shipstation.com/promos/tj-hunt/,promos,tj-hunt,publish
1,43596,Rise,https://shipstation.com/promos/rise/,promos,rise,publish
1,43597,"Jim Jefferies",https://shipstation.com/promos/jim-jefferies/,promos,jim-jefferies,publish
1,43598,"Ratchet and Respectable",https://shipstation.com/promos/ratchet-and-respectable/,promos,ratchet-and-respectable,publish
1,43599,"Motive for Murder",https://shipstation.com/promos/motive-for-murder/,promos,motive-for-murder,publish
1,43600,AsianBossGirl,https://shipstation.com/promos/asianbossgirl/,promos,asianbossgirl,publish
1,43601,"Rogue Theory",https://shipstation.com/promos/rogue-theory/,promos,rogue-theory,publish
1,43602,"Ms. Pat",https://shipstation.com/promos/ms-pat/,promos,ms-pat,publish
1,43603,"Tony DUrso",https://shipstation.com/promos/tony-durso/,promos,tony-durso,publish
1,43604,Fitish,https://shipstation.com/promos/fitish/,promos,fitish,publish
1,43605,BossBabe,https://shipstation.com/promos/bossbabe/,promos,bossbabe,publish
1,43606,YNK,https://shipstation.com/promos/ynk/,promos,ynk,publish
1,43607,"Between the Reps",https://shipstation.com/promos/between-the-reps/,promos,between-the-reps,publish
1,43608,"Tim Dillon",https://shipstation.com/promos/tim-dillon/,promos,tim-dillon,publish
1,43609,"Breaking Banks Fintech",https://shipstation.com/promos/breaking-banks-fintech/,promos,breaking-banks-fintech,publish
1,43610,"Cold Case Files",https://shipstation.com/promos/cold-case-files/,promos,cold-case-files,publish
1,43611,"Financial Freedom",https://shipstation.com/promos/financial-freedom/,promos,financial-freedom,publish
1,43612,"Koy Pond",https://shipstation.com/promos/koy-pond/,promos,koy-pond,publish
1,43613,"Impact Theory",https://shipstation.com/promos/impact-theory/,promos,impact-theory,publish
1,43614,"Happy Hour with Gretchen Geraghty",https://shipstation.com/promos/happy-hour-with-gretchen-geraghty/,promos,happy-hour-with-gretchen-geraghty,publish
1,43615,"Granger Smith",https://shipstation.com/promos/granger-smith/,promos,granger-smith,publish
1,43616,"Everything Happens",https://shipstation.com/promos/everything-happens/,promos,everything-happens,publish
1,43617,"Happier in Hollywood",https://shipstation.com/promos/happier-in-hollywood/,promos,happier-in-hollywood,publish
1,43618,GURU,https://shipstation.com/promos/guru/,promos,guru,publish
1,43619,"Smoking Tire",https://shipstation.com/promos/smoking-tire/,promos,smoking-tire,publish
1,43620,"Earn Your Happy",https://shipstation.com/promos/earn-your-happy/,promos,earn-your-happy,publish
1,43621,"Here's the Thing",https://shipstation.com/promos/heres-the-thing/,promos,heres-the-thing,publish
1,43622,"Dumb People Town",https://shipstation.com/promos/dumb-people-town/,promos,dumb-people-town,publish
1,43623,"Here We Are",https://shipstation.com/promos/here-we-are/,promos,here-we-are,publish
1,43624,"Life with the Lindseys",https://shipstation.com/promos/life-with-the-lindseys/,promos,life-with-the-lindseys,publish
1,43625,"Lunch Break!",https://shipstation.com/promos/lunch-break/,promos,lunch-break,publish
1,43626,"Pen Pals",https://shipstation.com/promos/pen-pals/,promos,pen-pals,publish
1,43627,"Boogie Monster",https://shipstation.com/promos/boogie-monster/,promos,boogie-monster,publish
1,43628,Breakdown,https://shipstation.com/promos/breakdown/,promos,breakdown,publish
1,43629,"Official Podcast",https://shipstation.com/promos/official-podcast/,promos,official-podcast,publish
1,43630,"Skinny Confidential",https://shipstation.com/promos/skinny-confidential/,promos,skinny-confidential,publish
1,43631,"Affirmation Pod",https://shipstation.com/promos/affirmation-pod/,promos,affirmation-pod,publish
1,43632,"Drinkin Bros",https://shipstation.com/promos/drinkin-bros/,promos,drinkin-bros,publish
1,43633,"Over It and On With It",https://shipstation.com/promos/over-it-and-on-with-it/,promos,over-it-and-on-with-it,publish
1,43634,"Friend Zone",https://shipstation.com/promos/friend-zone/,promos,friend-zone,publish
1,43635,"Nikki Glaser",https://shipstation.com/promos/nikki-glaser/,promos,nikki-glaser,publish
1,43636,"All Def SquADDCast",https://shipstation.com/promos/all-def-squaddcast/,promos,all-def-squaddcast,publish
1,43637,"Stiff Socks",https://shipstation.com/promos/stiff-socks/,promos,stiff-socks,publish
1,43638,"Bitch Bible",https://shipstation.com/promos/bitch-bible/,promos,bitch-bible,publish
1,43639,"Misfit Entrepreneur",https://shipstation.com/promos/misfit-entrepreneur/,promos,misfit-entrepreneur,publish
1,43640,"Sofia With An F",https://shipstation.com/promos/sofia-with-an-f/,promos,sofia-with-an-f,publish
